sector,GRANTEE,AMOUNT COMMITTED,percentage
education,Human Capital Africa,6826994.0,0.23
health,Planned Parenthood Federation of America,6815000.0,0.01
health,"Inflammasome Therapeutics, Inc.",6791051.0,0.01
health,University of Nebraska Medical Center,6786403.0,0.01
health,Voluntary Service Overseas,6785755.0,0.01
equality,Innovations for Poverty Action,6782460.0,0.39
growth,Self Employed Women's Organization (SEWA),6780128.0,0.06
health,ODK,6778310.0,0.01
education,Fab Inc. Limited,6768648.0,0.23
others,Landesa Rural Development Institute,6754250.0,0.19
equality,"The Global Fund for Women, Inc.",6745782.0,0.38
education,Transparency International,6741536.0,0.22
others,National Assn of Latino Elected Officials Naleo Education Fund,6737379.0,0.19
growth,Imperial College London,6732687.0,0.06
health,"AgBiome, Inc.",6721412.0,0.01
health,"Consorcio de Investigación sobre VIH SIDA TB CISIDAT, A.C",6699676.0,0.01
health,IPAS,6675135.0,0.01
others,Columbia University,6668335.0,0.18
others,"Synergos Institute, Inc",6660261.0,0.18
health,ITAD,6651918.0,0.01
others,The Malala Fund,6650000.0,0.18
health,SteriPack (USA) Limited,6630200.0,0.01
health,Ceva Santé Animale,6630001.0,0.01
equality,Tulane University,6622847.0,0.38
growth,LF Charities Inc,6607591.0,0.06
health,London School of Economics and Political Science,6600000.0,0.01
equality,Enhancing Financial Innovation & Access Ltd/GTE,6589517.0,0.37
health,"GlaxoSmithKline I+D, S.L.",6586523.0,0.01
health,Impetus Advisory Group,6580316.0,0.01
health,Indian School of Business,6573103.0,0.01
health,National Commission for Human Development,6568888.0,0.01
growth,The Fletcher School,6568303.0,0.06
education,American Enterprise Institute,6557635.0,0.22
growth,"University of California, Davis",6554104.0,0.06
growth,Carnegie Mellon University,6553824.0,0.06
growth,"The Centre for Health Research and Development, Society for Applied Studies",6526302.0,0.06
health,Ventria Bioscience,6519951.0,0.01
growth,BKP Economic Advisors,6512748.0,0.06
equality,Nation Media Group,6511397.0,0.37
health,Vaxess Technologies Inc.,6507615.0,0.01
growth,Telenor Pakistan,6500000.0,0.06
growth,Sohail Inc,6500000.0,0.06
growth,World Organisation for Animal Health (WOAH),6497916.0,0.06
growth,Welthungerhilfe,6497618.0,0.06
growth,Enhancing Financial Innovation & Access Ltd/GTE,6489216.0,0.06
growth,University Research Corporation International,6469535.0,0.06
others,National Urban League Inc,6461526.0,0.18
education,Johns Hopkins University,6460067.0,0.22
others,Seattle Art Museum,6450000.0,0.18
others,Innovations for Poverty Action,6433865.0,0.18
equality,Trustees of Indiana University,6424761.0,0.37
equality,The International Research & Exchanges Board,6404460.0,0.36
health,United Nations Development Programme,6401413.0,0.01
health,Bangladesh University of Engineering & Technology,6400005.0,0.01
others,Lutheran World Relief,6393445.0,0.18
health,Purdue University,6389607.0,0.01
others,International Centre for Genetic Engineering and Biotechnology - Italy,6388170.0,0.18
health,China CDC,6365811.0,0.01
health,DPI Centre Ltd,6361190.0,0.01
growth,Seattle Foundation,6360080.0,0.06
others,"Institute of Statistical, Social and Economic Research",6342025.0,0.18
equality,WRTHY,6338388.0,0.36
health,China Medical Board Inc,6329599.0,0.01
health,Emerging Ag Inc.,6329138.0,0.01
growth,MicroSave India Foundation,6322709.0,0.06
health,The University of Southampton,6314771.0,0.01
others,European Network on Debt and Development,6314394.0,0.18
equality,IDEO.org,6312098.0,0.36
health,Cytiva US LLC,6300000.0,0.01
equality,International Budget Partnership,6299967.0,0.36
health,University of the Western Cape,6297635.0,0.01
health,Meghalaya State Health Society,6292337.0,0.01
growth,Stellapps Technologies Private Limited,6291298.0,0.06
growth,"University of California, Berkeley",6272171.0,0.06
health,Texas Biomedical Research Institute,6267539.0,0.01
education,The Moth,6262019.0,0.21
health,Cedars-Sinai Precision Biomarker Laboratories,6257741.0,0.01
equality,Vital Voices Global Partnership,6250296.0,0.36
equality,Center for Global Development,6238537.0,0.35
others,Friends of Recovery Cafe,6235400.0,0.17
health,"SK bioscience Co., Ltd.",6230868.0,0.01
education,African Population & Health Research Center,6218437.0,0.21
growth,National Agricultural Research Laboratories,6200000.0,0.06
growth,International Development Law Organization,6200000.0,0.06
equality,Financial Sector Deepening Africa,6199599.0,0.35
growth,Instituto Trabajo y Familia,6199111.0,0.06
health,Population Foundation of India,6152479.0,0.01
growth,"SEEK Development, Strategic and Organizational Consultants GmbH",6150971.0,0.06
growth,University of Florida,6143666.0,0.06
others,"Online Computer Library Center, Inc.",6139479.0,0.17
equality,Indian Institute for Human Settlements,6137147.0,0.35
health,SUSTAIN,6132928.0,0.01
health,"Trustees of Boston University, BUMC",6122401.0,0.01
health,International Institute for Population Sciences,6115206.0,0.01
education,Hacettepe Technopolis Technology Transfer Center,6103726.0,0.2
health,International Center for Tropical Agriculture,6100000.0,0.01
health,Novonesis A S,6087872.0,0.01
health,Seattle Children's Hospital Foundation,6073614.0,0.01
health,Nigeria Governors' Forum,6069239.0,0.01
health,Henry M. Jackson Foundation for the Advancement of Military Medicine,6058773.0,0.01
health,MTV Staying Alive Foundation SA,6044969.0,0.01
health,Case Western Reserve University,6044241.0,0.01
others,PATH Drug Solutions,6043310.0,0.17
health,African Economic Research Consortium,6037645.0,0.01
health,LTS Lohmann Therapie-Systeme AG,6035457.0,0.01
health,Georgia Institute of Technology,6035225.0,0.01
health,Sanru Asbl,6033737.0,0.01
others,Foundation for Excellence in Education,6025000.0,0.17
others,United Nations Development Programme,6021336.0,0.17
health,"International Peace Institute, Inc.",6013936.0,0.01
health,Queen Mary & Westfield College,6000588.0,0.01
equality,The Barack Obama Foundation,6000000.0,0.34
education,Addis Ababa University,6000000.0,0.2
growth,Windward Fund,6000000.0,0.06
growth,The World Justice Project,6000000.0,0.06
health,WGBH Educational Foundation,6000000.0,0.01
growth,International Affairs Office at the Presidential Court of UAE,6000000.0,0.06
others,The Global Center on Adaptation,6000000.0,0.17
growth,Performing Arts Center Eastside,6000000.0,0.06
others,"SDSN Association, Inc",6000000.0,0.17
growth,D-Implement Inc.,5999462.0,0.06
growth,Ecobank,5998954.0,0.06
growth,Haydom Lutheran Hospital,5995492.0,0.06
growth,Africa Network of Agricultural Policy Research Institutes,5993749.0,0.06
growth,Biotalys N.V.,5979513.0,0.06
health,Kamuzu University of Health Sciences,5955880.0,0.01
health,Katholieke Universiteit Leuven,5952526.0,0.01
health,Shanghai Center of Biomedicine Development,5951773.0,0.01
growth,Busara Center for Behavioral Economics,5942644.0,0.06
health,ReiThera,5936778.0,0.01
health,Freedom from Hunger,5931291.0,0.01
health,NanoBio Corporation,5930094.0,0.01
education,Univision Communications Inc.,5924043.0,0.2
health,"Butterfly Network, Inc.",5915885.0,0.01
education,University of Oxford,5904812.0,0.2
education,Co-Creation Hub,5887222.0,0.2
health,Physicians for Human Rights,5875150.0,0.01
health,The Royal Institution for the Advancement of Learning/McGill University,5873204.0,0.01
health,Faecal Sludge Management Alliance,5865931.0,0.01
growth,Financial Innovation for Impact (Fii),5862696.0,0.06
growth,African Economic Research Consortium,5861400.0,0.06
health,West African Health Organisation,5860004.0,0.01
others,Harvard University,5858327.0,0.16
equality,Seattle Foundation,5850000.0,0.33
health,UNIVERSITY OF CHICAGO,5838904.0,0.01
health,Global Development Network,5836472.0,0.01
growth,The Southern African Confederation of Agricultural Unions,5829002.0,0.06
equality,"Ontario Ministry of Citizenship, Culture and Recreation",5828553.0,0.33
health,Kaizen Institute Consulting Group AFAE FZ-LLC,5825677.0,0.01
growth,Evergreen School,5823000.0,0.06
education,Stichting European Journalism Centre,5821156.0,0.19
growth,Wits Health Consortium (Pty) Ltd,5809935.0,0.06
health,Asian Development Research Institute,5772031.0,0.01
health,Zambia National Public Health Institute,5770589.0,0.01
health,"Versiti Wisconsin, Inc",5763230.0,0.01
health,"Pendulum Systems, Inc.",5758379.0,0.01
others,African Agricultural Technology Foundation,5756466.0,0.16
health,Ministry of Health and Social Action Senegal,5754087.0,0.01
health,Becton Dickinson Medical (S) Pte Ltd.,5750000.0,0.01
education,World Health Organization,5749835.0,0.19
education,Coalition for Global Prosperity,5736018.0,0.19
growth,Global Development Network,5731284.0,0.05
growth,Collaborative Africa Budget Reform Initiative,5728296.0,0.05
education,Oxford Policy Management Limited,5714898.0,0.19
education,University of Cape Town,5706849.0,0.19
health,African Union Commission,5700210.0,0.01
education,Gandhi Institute of Computer Education and Information Technology,5700000.0,0.19
health,Global Access Health,5700000.0,0.01
health,Lions Clubs International Foundation,5700000.0,0.01
health,University of Southern California,5693800.0,0.01
health,Africare,5692850.0,0.01
health,Kaivalya Education Foundation,5687167.0,0.01
health,Keltic Pharma Therapeutics Ltd,5684203.0,0.01
health,Bread for the World Institute Inc.,5683368.0,0.01
health,Living Goods,5676857.0,0.01
growth,"Rural Education and Development, Inc",5661116.0,0.05
growth,Water for People,5659264.0,0.05
health,Hackensack University Medical Center,5654498.0,0.01
health,Sambodhi Research & Communications,5643837.0,0.01
health,The William Davidson Institute at the University of Michigan,5630158.0,0.01
education,"African Comprehensive HIV/AIDS Partnerships, Inc.",5618673.0,0.19
health,The George Institute for Global Health,5618332.0,0.01
education,Kyle House Group,5608612.0,0.19
health,Northeastern University,5606821.0,0.01
education,UnidosUS,5602193.0,0.19
education,Planned Parenthood Federation of America,5600000.0,0.19
growth,Precise Consult International,5591710.0,0.05
growth,Nigeria Health Watch,5579152.0,0.05
growth,National Office for Water and Sanitation of Burkina Faso,5579065.0,0.05
others,American Library Association,5577139.0,0.15
others,Eastside Preparatory School,5573000.0,0.15
health,Medical Research Council,5555186.0,0.01
health,Logistimo,5545450.0,0.01
health,New York Blood Center,5529373.0,0.01
health,Leiden University Medical Center,5526030.0,0.01
health,Kampala Capital City Authority,5516869.0,0.01
health,Texas Tech University,5516665.0,0.01
health,World Population Foundation,5515000.0,0.01
health,Zambart,5508041.0,0.01
others,Stanford University,5506268.0,0.15
growth,African Population & Health Research Center,5500000.0,0.05
health,The Power of Nutrition,5500000.0,0.01
growth,Lever for Change,5500000.0,0.05
others,International Institute for Environment and Development,5500000.0,0.15
growth,Tulane University,5487478.0,0.05
growth,Grameen Foundation for Social Impact,5485150.0,0.05
growth,Policy Cures,5478005.0,0.05
health,National Institutes of Health,5470741.0,0.01
growth,Caribou Digital (UK) Ltd,5446065.0,0.05
equality,World Food Programme,5443006.0,0.31
equality,DER SPIEGEL GmbH & Co. KG,5437294.0,0.31
growth,Badan Riset dan Inovasi Nasional (BRIN) (National Research and Innovation Agency),5429490.0,0.05
equality,Development Workshop Angola,5378361.0,0.31
health,Institut Bouisson Bertrand,5373700.0,0.01
health,Brookings Institution,5361096.0,0.01
health,"Bayero University, Kano",5357089.0,0.01
health,Tides Center,5351008.0,0.01
equality,Lusaka Water and Sewerage Company Limited,5343241.0,0.3
growth,"Rainforest Alliance, Inc.",5343025.0,0.05
health,University of Maryland,5333409.0,0.01
growth,Aga Khan University,5330779.0,0.05
health,Cabinet EDE International,5313462.0,0.01
growth,The Chicago Council on Global Affairs,5306793.0,0.05
growth,"University of California, Los Angeles",5303904.0,0.05
health,Kenya Pediatric Research Consortium,5303040.0,0.01
others,Lakeside School,5300000.0,0.15
health,SouthBridge Investments,5299485.0,0.01
health,Boragen,5298455.0,0.01
health,HABTech Solutions PLC,5297163.0,0.01
health,Global Green Growth Institute,5296326.0,0.01
growth,Confederation of Indian Industry,5284510.0,0.05
health,BIOASTER,5284135.0,0.01
education,Stand for Children Leadership Center,5282921.0,0.18
health,Strathmore University,5275456.0,0.01
health,Aga Khan Foundation USA,5262381.0,0.01
health,Sir Dorabji Tata Trust,5261972.0,0.01
education,Center for Digital Inclusion,5261049.0,0.18
equality,MSC Global Consulting Private Limited,5258919.0,0.3
equality,American Institutes for Research,5250346.0,0.3
health,"Polo d'Innovazione Genomica, Genetica, e Biologia S.R.L.",5239365.0,0.01
growth,University College London,5229673.0,0.05
education,Sugarcane Research Institute - Kibaha,5225799.0,0.17
health,Research!America,5223896.0,0.01
health,University of Pretoria,5221829.0,0.01
health,Wadhwani Institute for Artificial Intelligence Foundation,5215329.0,0.01
education,Wellcome Sanger Institute,5215204.0,0.17
growth,Bread for the World Institute Inc.,5213008.0,0.05
education,Iowa State University,5208525.0,0.17
health,Bauchi State Primary Health Care Development Agency,5208077.0,0.01
growth,Alliance for Financial Inclusion,5203774.0,0.05
education,Seattle Foundation,5200000.0,0.17
health,Food and Agricultural Research Management Limited,5188438.0,0.01
growth,Administrative Staff College of India,5185089.0,0.05
health,University of Southern Denmark,5178497.0,0.01
health,Universitas Padjadjaran,5175698.0,0.01
growth,Nudge Foundation,5173244.0,0.05
others,The University of Southampton,5166709.0,0.14
growth,University of Nairobi,5162346.0,0.05
growth,Lutheran World Relief,5159477.0,0.05
growth,KfW Bankengruppe,5157050.0,0.05
growth,Global Perspectives Initiative gUG (haftungsbeschränkt),5153817.0,0.05
health,Phase Genomics,5151147.0,0.01
others,The Africa Center,5150000.0,0.14
growth,The Alan Turing Institute,5148320.0,0.05
growth,M-KOPA,5131567.0,0.05
others,United Nations Capital Development Fund,5130421.0,0.14
education,RTI International,5127578.0,0.17
health,Micronutrient Forum,5126387.0,0.01
health,Viamo,5121528.0,0.01
growth,First Bank of Nigeria,5116818.0,0.05
equality,"Save the Children Federation, Inc.",5100000.0,0.29
health,eThekwini Municipality,5099936.0,0.01
health,University of Gondar,5099869.0,0.01
health,ReD Associates A/S,5088367.0,0.01
growth,Aga Khan Foundation USA,5085625.0,0.05
health,Health Systems Consult Limited,5074262.0,0.01
education,Council on Library and Information Resources,5069015.0,0.17
equality,Quebec Ministere de la Culture et des Communications,5063796.0,0.29
health,International Treatment Preparedness Coalition,5051609.0,0.01
health,International Centre for Reproductive Health Kenya,5048560.0,0.01
others,"JSI Research & Training Institute, Inc.",5045000.0,0.14
health,Sydani Initiative for International Development,5043796.0,0.01
growth,African Monitor,5017534.0,0.05
health,Lutheran World Relief,5010925.0,0.01
education,Africa Research Excellence Fund (AREF Africa),5008727.0,0.17
growth,Fin Tech Africa,5007873.0,0.05
others,Martha's Table,5006000.0,0.14
education,University of Pennsylvania,5003694.0,0.17
health,Graça Machel Trust,5000456.0,0.01
health,"Arranta Bio MA, LLC.",5000062.0,0.01
education,Fundacio Clinic per a la Recerca Biomedica,5000000.0,0.17
growth,Foundation for Food and Agriculture Research,5000000.0,0.05
health,Fannie and John Hertz Foundation,5000000.0,0.01
health,World Neighbors,5000000.0,0.01
growth,Spanish National Research Council (CSIC),5000000.0,0.05
growth,Flow Equity,5000000.0,0.05
equality,Centre for Development and Population Activities,5000000.0,0.28
equality,MSI Reproductive Choices,5000000.0,0.28
others,Seattle Aquarium,5000000.0,0.14
equality,International Justice Mission,5000000.0,0.28
health,Groupe de Recherche et d'Echanges Technologiques,5000000.0,0.01
growth,Seattle Community Colleges,5000000.0,0.05
health,CGIAR System Organization,5000000.0,0.01
health,National Disease Control and Prevention Administration,5000000.0,0.01
others,Girls Not Brides: The Global Partnership to End Child Marriage,5000000.0,0.14
others,"Boys & Girls Clubs of Broward County, Inc.",5000000.0,0.14
others,"East Lake Foundation, Inc.",5000000.0,0.14
growth,Commercial Bank of Africa,5000000.0,0.05
education,"East Lake Foundation, Inc.",5000000.0,0.17
education,Institute of International Education,5000000.0,0.17
equality,Equality Now Inc,5000000.0,0.28
growth,Khan Academy Inc.,5000000.0,0.05
others,Hailemariam & Roman Foundation,5000000.0,0.14
others,9/11 Memorial & Museum,5000000.0,0.14
growth,"DKT International, Inc.",5000000.0,0.05
growth,Agri Experience Limited,5000000.0,0.05
equality,Friends of the Foundation for Community Development,5000000.0,0.28
health,Whitehead Institute for Biomedical Research,4999999.0,0.01
growth,Common Market for Eastern and Southern Africa,4999999.0,0.05
health,"TechnoServe, Inc.",4999999.0,0.01
equality,Cornell University,4999967.0,0.28
growth,Innovative Vector Control Consortium (IVCC),4999962.0,0.05
education,Global Change Data Lab,4999691.0,0.17
education,Associates in Research and Education for Development Inc.,4999660.0,0.17
growth,Bureau for Food and Agricultural Policy,4999420.0,0.05
growth,AVINA Americas,4999240.0,0.05
others,Micronutrient Forum,4998923.0,0.14
health,World Economic Forum,4998224.0,0.01
health,Development Bank of Southern Africa,4997923.0,0.01
growth,ABS Global Inc.,4997817.0,0.05
education,"ACCESS Health International, Inc.",4997217.0,0.17
growth,Borlaug Institute for South Asia (BISA),4996784.0,0.05
growth,Samunnati Agro Solutions Private Limited,4996733.0,0.05
growth,FC C.V.,4995840.0,0.05
others,IHE Delft,4993623.0,0.14
growth,Junior Achievement India Services,4993092.0,0.05
education,Language and Learning Foundation,4992896.0,0.17
health,Value for Good GmbH,4992226.0,0.01
health,Kleo Pharmaceuticals Inc.,4989380.0,0.01
health,"Decoy Therapeutics, Inc",4989144.0,0.01
health,Hendrix Genetics,4988025.0,0.01
equality,Public Health Institute,4985974.0,0.28
health,Exscientia AI Limited,4985685.0,0.01
health,Ogilvy South Africa (Pty) Ltd,4979924.0,0.01
growth,City of Dakar,4973130.0,0.05
growth,Tuv Sud Asia Pacific Pte Ltd,4970870.0,0.05
growth,Monrovia City Corporation,4966560.0,0.05
growth,Regrow Ag,4964206.0,0.05
health,University of Münster,4962546.0,0.01
health,Future Evidence Foundation,4961983.0,0.01
health,Partners in Hope,4960548.0,0.01
growth,U.S. Good Business Lab Foundation,4958042.0,0.05
others,Africa Resource Center for Excellence in Supply Chain Management LTD/GTE,4955723.0,0.14
growth,ECOWAS Commission,4954500.0,0.05
education,William & Mary,4944090.0,0.16
health,"Post Graduate Institute of Medical Education and Research, Chandigarh",4930552.0,0.01
equality,TrustAfrica,4928028.0,0.28
health,"The Project Syndicate, o.p.s.",4922381.0,0.01
equality,Dvara Research Foundation,4913112.0,0.28
growth,Gatsby Africa,4904148.0,0.05
growth,Segovia,4902617.0,0.05
growth,Columbia Global Center - Africa,4902237.0,0.05
growth,Pan African Climate Justice Alliance,4900609.0,0.05
health,Pangaea Zimbabwe Aids Trust,4899999.0,0.01
growth,ISEG Foundation,4899925.0,0.05
growth,Fan Milk PLC,4897237.0,0.05
growth,URUS Group LP,4896140.0,0.05
health,"Octant, Inc.",4890690.0,0.01
growth,Lamme Dairy PLC,4890171.0,0.05
health,Nafundi,4889978.0,0.01
health,Telegraph Media Group Holdings Limited,4884447.0,0.01
health,African Malaria Network Trust (AMANET),4881092.0,0.01
health,"Arcturus Therapeutics, Inc.",4880143.0,0.01
others,National Council of Nonprofits,4875000.0,0.14
others,"Loughborough University (Water, Engineering & Development Centre)",4874105.0,0.14
health,SNV Netherlands Development Organisation,4873040.0,0.01
health,Research America,4855860.0,0.01
health,Medicines Development for Global Health,4855712.0,0.01
others,Committee on Sustainability Assessment,4855084.0,0.13
health,"Edge Animal Health, Inc.",4850000.0,0.01
health,"Spire Health Technology, PBC",4845162.0,0.01
health,Radboud University,4837469.0,0.01
health,"Institute of Microbiology, Chinese Academy of Sciences",4834170.0,0.01
equality,Centre for Catalyzing Change,4830461.0,0.27
health,Hubbard SAS,4815325.0,0.01
growth,University of Virginia,4814088.0,0.05
education,International Initiative for Impact Evaluation Inc.,4813567.0,0.16
health,National Institute of Urban Affairs,4803760.0,0.01
others,Global HIV Vaccine Enterprise,4803600.0,0.13
health,Heidelberg University Hospital/Universitätsklinikum Heidelberg,4800255.0,0.01
education,Shujaaz Inc,4799889.0,0.16
health,Girl Effect,4798880.0,0.01
growth,Convergence,4798584.0,0.05
education,Nasscom Foundation,4785902.0,0.16
equality,"Enclude, Ltd.",4784000.0,0.27
growth,Trouw Nutrition MEA Export,4783440.0,0.05
health,ThinkPlace Kenya Ltd.,4783333.0,0.01
growth,China International Center for Economic and Technical Exchanges,4775599.0,0.05
growth,Vodacom Tanzania Limited,4774530.0,0.05
health,"APICS, Inc.",4769936.0,0.01
health,Centre for Science and Environment,4769803.0,0.01
growth,QualiBasic Seed Company,4765984.0,0.05
health,Pilgrim Africa,4762299.0,0.01
growth,Kenyatta University,4761069.0,0.05
growth,Ohio State University Research Foundation,4753705.0,0.05
education,Education Writers Association,4752779.0,0.16
health,National Academy of Sciences,4750657.0,0.01
education,Ursuline Academy of Dallas,4750000.0,0.16
health,"Center for Project Supervision and Management, National Health Commission of the People's Republic of China",4748881.0,0.01
health,Sanergy,4747480.0,0.01
growth,Project Concern International,4741385.0,0.05
growth,CARE India Solutions For Sustainable Development,4738504.0,0.05
health,IPE Global Limited,4735506.0,0.01
growth,The Fuller Project,4729448.0,0.05
health,Aceso Global,4728146.0,0.01
health,University of Saskatchewan,4720133.0,0.01
health,ETH Zürich,4717412.0,0.01
health,Sir Ratan Tata Trust,4712072.0,0.01
growth,University of Pretoria,4710290.0,0.04
health,Dartmouth-Hitchcock Clinic,4709094.0,0.01
health,Mirvie,4705126.0,0.01
health,Partners In Health A Nonprofit Corporation,4702567.0,0.01
equality,Council of Chief State School Officers,4700000.0,0.27
health,Aman Health Care Services,4698839.0,0.01
growth,Swiss Federal Institute of Aquatic Science and Technology,4688530.0,0.04
health,University of Liverpool,4688002.0,0.01
health,Baobab Institute,4679839.0,0.01
health,"Ministry of Public Health, Republic of Chad",4675166.0,0.01
health,"Yixing Eco-Sanitary Manufacture Co., Ltd",4672645.0,0.01
health,PUNCH Nigeria Limited,4670337.0,0.01
health,InDevR,4666596.0,0.01
health,Consortium for DEWATS Dissemination,4663608.0,0.01
health,Ohio State University,4659564.0,0.01
health,Armauer Hansen Research Institute,4653665.0,0.01
growth,Sambodhi Research & Communications,4652315.0,0.04
education,Conférence des Ministres de l’éducation des Etats et gouvernements de la Francophonie,4649632.0,0.16
health,Nursing and Midwifery Council of Nigeria,4648694.0,0.01
equality,AVPN Limited,4644258.0,0.26
education,Navajo Nation,4642798.0,0.15
education,University of Global Health Equity,4635288.0,0.15
health,Zenysis Technologies Inc.,4623483.0,0.01
education,New York State Library,4619687.0,0.15
growth,Bioversity International,4617884.0,0.04
health,Ecumenical Pharmaceutical Network,4603952.0,0.01
others,Global Citizen,4601600.0,0.13
education,Gudina Tumsa Foundation,4600000.0,0.15
others,Tennessee State Collaborative on Reforming Education,4600000.0,0.13
equality,CNN.com,4600000.0,0.26
others,Development Initiatives Poverty Research Ltd,4597377.0,0.13
health,United Nations Human Settlements Programme (UN-Habitat),4592820.0,0.01
health,Niyel Suarl,4578942.0,0.01
others,RTI International,4572426.0,0.13
health,University of Adelaide,4568715.0,0.01
health,Translational Health Science and Technology Institute,4568621.0,0.01
health,Mylan Laboratories Limited,4558312.0,0.01
education,"National Public Radio, Inc.",4550000.0,0.15
health,Humabs BioMed,4549751.0,0.01
health,Le Monde,4548970.0,0.01
growth,Diconsa,4546247.0,0.04
equality,Friends of The British Council USA Inc.,4542294.0,0.26
health,Sanitas Health and Development Foundation,4542287.0,0.01
health,University of Iowa,4538861.0,0.01
education,Massachusetts Institute of Technology,4538224.0,0.15
health,Final Mile Consulting LLC,4537282.0,0.01
health,National Centre for Biological Sciences,4534810.0,0.01
health,"CausalFoundry, Inc.",4523756.0,0.01
health,"Vitalant Research Institute, Vitalant Laboratory",4522387.0,0.01
growth,"BiomEdit, LLC",4516995.0,0.04
growth,WindBorne Systems Inc.,4510300.0,0.04
growth,SADC Banking Association,4509799.0,0.04
health,Nuclear Threat Initiative,4500663.0,0.01
equality,Mama Cash,4500151.0,0.26
others,International Initiative for Impact Evaluation Inc.,4500002.0,0.12
equality,Moore Impact,4500000.0,0.26
equality,International Development Research Centre,4500000.0,0.26
education,Campaign for College Opportunity,4500000.0,0.15
growth,Equity Bank Limited,4500000.0,0.04
equality,Legal Aid for Washington Fund,4500000.0,0.26
growth,Centre for Policy Research,4499989.0,0.04
health,International Centre of Insect Physiology and Ecology,4499871.0,0.01
education,"Editorial Projects in Education, Inc.",4498240.0,0.15
health,City of Cape Town,4497665.0,0.01
equality,SEWA BHARAT,4488527.0,0.26
education,"United Nations Educational, Scientific, and Cultural Organization",4486804.0,0.15
growth,Sidai Africa (Kenya) Limited,4485000.0,0.04
health,"Office of Research, Innovation and  Development (ORID)",4479116.0,0.01
health,Women's Refugee Commission,4470691.0,0.01
health,Indian Institute of Technology Delhi,4466525.0,0.01
growth,Tandem,4465065.0,0.04
education,Council for Scientific and Industrial Research (South Africa),4458033.0,0.15
health,Nature's Fynd,4457270.0,0.01
health,University of Melbourne,4454111.0,0.01
health,Pulitzer Center on Crisis Reporting,4432552.0,0.01
education,"Rockefeller Philanthropy Advisors, Inc.",4427535.0,0.15
health,Salient Advisory Inc,4425240.0,0.01
education,New America,4425000.0,0.15
equality,IIM A Ventures,4411078.0,0.25
education,Connected Nation Inc,4410459.0,0.15
education,Johns Hopkins University Bloomberg School of Public Health,4406852.0,0.15
health,Brandeis University,4405983.0,0.01
growth,"Square Roots Urban Growers, Inc",4403272.0,0.04
health,"Ministry of Health, Rwanda",4401794.0,0.01
health,Plan International UK,4399707.0,0.01
health,University of Copenhagen,4397434.0,0.01
health,Intravacc,4392822.0,0.01
health,MARBIO,4384173.0,0.01
growth,"JSI Research & Training Institute, Inc.",4383860.0,0.04
equality,Georgetown University,4380747.0,0.25
growth,Science for Africa Foundation (SFA),4375695.0,0.04
others,"Policy Innovators In Education Network, Inc.",4375000.0,0.12
education,"NBCUniversal Media, LLC",4373500.0,0.15
health,University of Rochester,4370858.0,0.01
health,J.C. Flowers Foundation,4368879.0,0.01
health,Acorda Therapeutics Inc.,4367654.0,0.01
health,Project Hope,4361815.0,0.01
health,Zipline International Inc.,4355239.0,0.01
health,Innovative Medicines for Tuberculosis Foundation (iM4TB),4352429.0,0.01
health,Institut National de Recherche Biomédicale (INRB),4346418.0,0.01
education,Learning Policy Institute,4341970.0,0.14
education,Jobs for the Future Inc.,4340235.0,0.14
health,"Digital Biology, Inc.",4327073.0,0.01
health,"Sudden Infant Death Syndrome Alliance, Inc.",4325752.0,0.01
others,African Constituency Bureau,4321528.0,0.12
health,Kaduna State Primary Health Care Board,4317757.0,0.01
growth,Business for Social Responsibility,4314026.0,0.04
growth,Hailemariam & Roman Foundation,4299061.0,0.04
others,University College London,4297986.0,0.12
others,Evergreen School,4282000.0,0.12
growth,DFS Lab,4279471.0,0.04
health,Clinton Health Access Initiative (Kenya),4278474.0,0.01
health,"Addition Therapeutics, Inc.",4275326.0,0.01
health,Luke International,4272932.0,0.01
health,Praxis- Institute for Participatory Practices,4271881.0,0.01
health,University of Illinois at Chicago,4262522.0,0.01
health,Hystra,4259868.0,0.01
health,New York Academy of Sciences,4251564.0,0.01
others,University of Southern California,4249989.0,0.12
health,Corona Management Systems,4249778.0,0.01
others,International Vaccine Institute,4238974.0,0.12
health,"Bull City Learning, Inc.",4234206.0,0.01
education,"Resource: The Council for Museums, Archives and Libraries",4228577.0,0.14
health,"Provincial Health Division, Tanganyika Province",4222690.0,0.01
growth,University of New England,4221534.0,0.04
health,Asian Disaster Preparedness Center,4210078.0,0.01
education,BBC Media Action,4207941.0,0.14
health,World Health Organization Regional Office for South East Asia (SEARO),4206931.0,0.01
education,Alliance for Excellent Education,4200000.0,0.14
health,University of Massachusetts,4195251.0,0.01
growth,Relief International,4183733.0,0.04
health,Rommelag,4183069.0,0.01
health,"Provincial Health Division, Haut Lomami Province",4177345.0,0.01
growth,Alliance to End Hunger,4172272.0,0.04
growth,Hanns R. Neumann Stiftung,4170435.0,0.04
others,GuideStar USA Inc.,4165000.0,0.12
education,African Library & Information Associations & Institutions,4164858.0,0.14
others,92nd Street Y,4162384.0,0.12
equality,Aids Fonds,4161981.0,0.24
growth,GuideStar USA Inc.,4158100.0,0.04
health,"CRRC Environmental Science & Technology Co., Ltd.",4144678.0,0.01
health,Indian Institute of Technology Bombay,4143329.0,0.01
growth,Africa Human Capital Development Plus LTD/GTE,4139633.0,0.04
health,The Chicago Council on Global Affairs,4138522.0,0.01
health,Dalberg Catalyst,4134227.0,0.01
