sector,GRANTEE,AMOUNT COMMITTED,percentage
health,CONRAD/Eastern Virginia Medical School,89021247.0,0.14
growth,United Nations Development Programme,88663470.0,0.85
health,VillageReach,88282422.0,0.14
health,The Scripps Research Institute,88057793.0,0.14
health,University of Virginia,88056647.0,0.14
health,The One Campaign,87963207.0,0.14
growth,"Rockefeller Philanthropy Advisors, Inc.",87455709.0,0.83
health,RIZ Consulting,87115988.0,0.14
health,AMREF Health Africa,84380198.0,0.14
growth,CGIAR System Organization,83820162.0,0.8
health,PT. Bio Farma (Persero),82876497.0,0.13
health,Seattle Biomedical Research Institute,81768338.0,0.13
growth,International Food Policy Research Institute,81563692.0,0.78
growth,International Center for Tropical Agriculture,78138451.0,0.74
health,"Broad Institute, Inc.",77966711.0,0.13
health,"Results for Development Institute, Inc.",76933475.0,0.12
education,The International Research & Exchanges Board,76821767.0,2.56
growth,Heifer Project International,76704623.0,0.73
health,AIDS Vaccine Advocacy Coalition Inc.,76511991.0,0.12
health,University of Pennsylvania,75781576.0,0.12
health,Solina Center for International Development and Research,75230120.0,0.12
health,Management Sciences for Health,74735193.0,0.12
health,Resolve to Save Lives,73143877.0,0.12
others,International Bank for Reconstruction and Development,72678211.0,2.02
health,University of Dundee,72238501.0,0.12
health,Georgetown University,70948201.0,0.11
health,"Vir Biotechnology, Inc",70456618.0,0.11
growth,AfricaNenda Foundation,70000120.0,0.67
growth,Lakeside School,70000000.0,0.67
education,University of Washington Foundation,69908289.0,2.33
health,"EngenderHealth, Inc.",69037806.0,0.11
growth,Oxfam-America Inc,68865112.0,0.66
health,World Food Programme,68700363.0,0.11
health,Virginia Commonwealth University,68467458.0,0.11
health,"Novartis Institutes for BioMedical Research, Inc.",68426167.0,0.11
education,Partners In Health A Nonprofit Corporation,68299350.0,2.28
health,RTI International,67594925.0,0.11
health,International Initiative for Impact Evaluation Inc.,67528869.0,0.11
health,University College London,67188158.0,0.11
growth,United Nations Foundation,66872270.0,0.64
health,"African Comprehensive HIV/AIDS Partnerships, Inc.",66799137.0,0.11
health,"Avenir Health, Inc.",66214730.0,0.11
health,Instituto de Salud Global Barcelona,66082110.0,0.11
health,Christian Medical College Vellore,64953125.0,0.1
health,"Federal Ministry of Health, Abuja",64871373.0,0.1
health,Institute of Tropical Medicine,64154988.0,0.1
growth,International Livestock Research Institute,63909457.0,0.61
health,World Health Organization Afghanistan Country Office,62962399.0,0.1
health,California Institute of Technology,62366845.0,0.1
health,Malaria Consortium,61903310.0,0.1
education,Duke University,61670310.0,2.06
health,"LG Chem, Ltd.",61546386.0,0.1
health,Yale University,61513454.0,0.1
others,World Health Organization,61208587.0,1.7
growth,University of Illinois at Urbana-Champaign,61016032.0,0.58
health,"Dare Bioscience, Inc.",60943035.0,0.1
health,ThinkWell Institute,60250692.0,0.1
health,Evotec,59379053.0,0.1
health,GlaxoSmithKline Biologicals,59265418.0,0.1
health,LumiraDx UK Limited,59219748.0,0.1
health,FIDEC Corporation,59063698.0,0.1
health,Campaign for Tobacco-Free Kids,58491000.0,0.09
health,Population Action International,58451588.0,0.09
growth,United Nations Capital Development Fund,58360185.0,0.56
health,African Leaders Malaria Alliance,58063927.0,0.09
health,Society for Family Health,57939325.0,0.09
health,Philips North America LLC,57928542.0,0.09
health,Americans for UNFPA,57624311.0,0.09
health,IntraHealth International Inc.,57575356.0,0.09
health,Africa Health Research Institute NPC,56899723.0,0.09
health,Murdoch Childrens Research Institute,56337516.0,0.09
health,Save the Children UK,56195224.0,0.09
health,"University of California, Berkeley",55035814.0,0.09
health,Tulane University,54991514.0,0.09
health,Joan & Sanford I. Weill Medical College of Cornell University,54888951.0,0.09
health,Piramal Swasthya,54533031.0,0.09
health,Global Health Strategies LLC,54079899.0,0.09
growth,Wageningen University,53708746.0,0.51
health,Swiss Tropical & Public Health Institute,53401757.0,0.09
health,Malaria No More,53192698.0,0.09
health,Monash University,53183483.0,0.09
education,The William and Flora Hewlett Foundation,53000000.0,1.77
growth,Global Alliance for Livestock Veterinary Medicines,52659734.0,0.5
growth,New Venture Fund,52447208.0,0.5
health,Children's Hospital Boston,51899469.0,0.08
growth,Karandaaz Pakistan,51500000.0,0.49
health,International Federation of Red Cross and Red Crescent Societies,51293521.0,0.08
growth,"Catholic Relief Services, Inc.",51257812.0,0.49
health,Centre Hospitalier Universitaire Vaudois,51174545.0,0.08
health,"Caption Health, Inc.",51028325.0,0.08
health,Global Impact,51000000.0,0.08
health,Institute for Healthcare Improvement,50725211.0,0.08
health,University of California San Diego,50604933.0,0.08
growth,"Co-Impact Philanthropic Funds, Inc.",50000000.0,0.48
health,The Pirbright Institute,49861765.0,0.08
health,World Vision,49833819.0,0.08
health,Rice University,49780731.0,0.08
equality,UN Women,49484634.0,2.81
others,New Venture Fund,49153381.0,1.36
